x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
256.53564496408217,-904.6678421460092,34.754191839881244,-155.34977349846326,4.749017494539681,0,2,0,0,0
255.58385408500908,-905.0852608429268,34.7435254778713,-159.13293641788442,4.67553394497531,0,2,0,0,0
254.61989236011868,-905.4329904429615,34.74301162436605,-163.14051412092138,4.614766323848923,0,2,0,0,0
253.64688775583636,-905.7058246126398,34.7256334040314,-167.19163683413257,4.546394202212078,0,2,0,0,0
252.57944204163505,-905.9221685146913,34.71915646530688,-171.83269301056052,4.488584567528831,0,2,0,0,0
251.51333629671717,-906.0530173964798,34.720129810087386,-176.66062159848533,4.408670055999748,0,2,0,0,0
250.45965957432054,-906.084711715579,34.71111222524196,178.33479730422312,4.328030940204593,0,2,0,0,0
249.42559025774244,-906.0293842693791,34.697812719084325,172.89163972863528,4.254539644474428,0,2,0,0,0
248.4200127039221,-905.8763793772087,34.70006064679474,167.36832035644665,4.175279729996072,0,2,0,0,0
247.37633533158805,-905.6112127415836,34.70388142000884,161.0497686598244,4.065495289838123,0,2,0,0,0
246.39681650942657,-905.236066551879,34.70121189374477,154.44081270454825,3.978008288286509,0,2,0,0,0
245.4861228078953,-904.7595441453159,34.69857168551535,147.9523322934587,3.9056792415369035,0,2,0,0,0
244.6419086046517,-904.2000457393005,34.70668662413955,141.94292140414274,3.8508255180010567,0,2,0,0,0
243.874846900173,-903.5555752748623,34.697818438336256,136.8521384895983,3.825386950077014,0,2,0,0,0
243.10294376820093,-902.8051830446348,34.699336720444265,131.76346188507333,3.8416020123985426,0,2,0,0,0
242.44489034672733,-902.0463848728687,34.70746132526547,127.88863071416415,3.851660015426756,0,2,0,0,0
241.8412296550814,-901.2409906461835,34.70196352321655,124.57778971710864,3.8648363779617383,0,2,0,0,0
241.27521386253648,-900.4051786139607,34.71362770888955,121.86275178400888,3.8772906506554436,0,2,0,0,0
240.74975906556938,-899.5384240252897,34.711537834070626,119.8181750654558,3.8925606418844065,0,2,0,0,0
240.24578177148942,-898.654668610543,34.71331951003522,118.23185822403315,3.9059980260155176,0,2,0,0,0
239.76369518699357,-897.7593546435237,34.71919140852988,117.21271402356173,3.927765414522842,0,2,0,0,0
239.2851722703199,-896.8545970190316,34.72725469507277,116.68644619464685,3.935669740576655,0,2,0,0,0
238.83283243246842,-895.9382882928476,34.73222461137921,116.64148295121615,3.9391293437569637,0,2,0,0,0
238.35752568795579,-895.0321732191369,34.73285697475076,116.56641056590394,3.9459703060488285,0,2,0,0,0
237.89066645293497,-894.1213948316872,34.72051945589483,116.9754325237739,3.9154212074337478,0,2,0,0,0
237.4229172997293,-893.2168343765661,34.75565779376775,117.78783685692906,3.9204822515379942,0,2,0,0,0
236.92814568727044,-892.3258182182908,34.75030113179237,119.20256990421724,3.9171267526985285,0,2,0,0,0
236.41892123856815,-891.443701794371,34.77613934576512,121.13029923976006,3.9187966253504305,0,2,0,0,0
235.87100307259243,-890.5836953418329,34.78479194156826,123.05541687836369,3.92731993044563,0,2,0,0,0
235.3018063865602,-889.7349598919973,34.79550091810525,124.78544384783633,3.9314894311111916,0,3,0,0,0
234.70381450129207,-888.9044973049313,34.80479567665607,126.22323236110297,3.9404881648072885,0,3,0,0,0
234.08922940707998,-888.0916068358347,34.81229237634689,127.4958647999071,3.9000774806634104,0,3,0,0,0
233.4688651773031,-887.3064307989553,34.81999482940883,128.57309771713616,3.8206750706494597,0,3,0,0,0
232.79803902620915,-886.4913789248094,34.82392464000732,129.48411826175567,3.731000860492906,0,3,0,0,0
232.13748794636922,-885.7128439582884,34.83224952481687,130.2384074714942,3.5653229479828976,0,3,0,0,0
231.4620254605543,-884.9405171955004,34.83946690410376,130.94456161937768,3.2753980721052494,0,3,0,0,0
230.7780680989381,-884.174957296811,34.84805242791772,131.68074217692006,2.7566192960568876,0,3,0,0,0
230.087631375005,-883.42023933772,34.850254056788984,131.61860071883189,2.2174917618118233,0,3,0,0,0
229.39626771083567,-882.6759790554643,34.85569777321071,131.3609135560696,1.5633213247592752,0,3,0,0,0
228.73300762788858,-881.9214166635647,34.8227870406583,131.33972942320253,0.408984203486459,0,1,0,0,0
228.06805216270732,-881.1717719845474,34.833710104040804,131.66941168378807,1.82271885052416,0,1,0,0,0
227.38466419943143,-880.4152461029589,34.83880690932274,131.9964274573276,2.5996786509255587,0,1,0,0,0
226.67191587743582,-879.6385667510331,34.838241938315335,132.31685832728854,3.2423404449571813,0,1,0,0,0
225.9568108591484,-878.8690570732579,34.84340483490378,132.78629029607356,3.7419011008260257,0,1,0,0,0
225.25519010057906,-878.1257115453482,34.8511671692133,133.8820127105241,4.108687137119099,0,1,0,0,0
224.52701789315324,-877.399268148467,34.85128210280091,135.6013814903507,4.450920783294059,0,1,0,0,0
223.78943717491347,-876.7054742621258,34.85299304574728,137.79206475496252,4.744856279880512,0,1,0,0,0
222.9782824846916,-875.9988408116624,34.863997218944135,140.03223169158238,5.034310488209047,0,1,0,0,0
222.17452858225442,-875.3506723111495,34.865068928152326,141.83046695449997,5.282880344608413,0,1,0,0,0
221.31414795859018,-874.6976780230179,34.865734201669696,143.24466733652523,5.510572645855916,0,1,0,0,0
220.49923092953395,-874.1008975729346,34.87117207217962,144.18807762262003,5.71020968027766,0,1,0,0,0
219.64506541693117,-873.4998783301562,34.87247257381678,144.7178218584015,5.896395820102281,0,1,0,0,0
218.7602282333537,-872.889938654378,34.86940303053707,144.85939049082572,6.029267397114489,0,1,0,0,0
217.86877333174925,-872.2656614687294,34.870742104761305,144.71163641814493,6.0462038114916945,0,1,0,0,0
216.9787760884501,-871.6463910387829,34.88787888903171,143.89336476969788,6.005655073654254,0,1,0,0,0
216.10816665843595,-871.0177165633067,34.90210079383105,142.71480671264135,5.929359284333005,0,1,0,0,0
215.26647842040984,-870.3756222715601,34.90535670034588,141.2519083049713,5.836617974858381,0,1,0,0,0
214.45827950688545,-869.7207350246608,34.91203475631774,139.6916673737242,5.686492855055069,0,1,0,0,0
213.69054226530716,-869.0648329667747,34.92202577535063,138.26962041077297,5.487645837455892,0,1,0,0,0
212.89216338662663,-868.3455313900486,34.92560990415514,136.90860454489,5.212738497101427,0,1,0,0,0
212.15516541636316,-867.649979846552,34.930768645182255,135.81682436323223,4.878779059867344,0,1,0,0,0
